央视频道,#genre#
辽宁卫视,http://39.134.50.212:6410/PLTV/11/224/3221227242/index.m3u8?rrsip=ltcottcdnfh.ln.chinamobile.com&zoneoffset=0&servicetype=1&icpid=&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%2C10500006445545%2C223.102.101.118%2C20250121061720%2CH265-3500k-1080P-liaoningstv%2C10001004046892%2C-1%2C0%2C1%2C-1%2C%2C2%2CYDTV%2C%2C%2C2%2C%2C403534188%2CEND&GuardEncType=2&it=H4sIAAAAAAAAAE2OUQuCMBSF_80ehzPRfNiTEQRhQdZrnM3rEqerzYL-fSo-9HLhXL7vcEYPTYedBDYiQy6aNEkS2pJqslxoqCQXajqKBXqVTsZMw9p2MKWrZ-12Ke4ii3mccsFFFLFq7ttbGBktaPnuFfk1TN6F_KfVJOvQ8A8ChzGeDMbWDfxs8b16uyKMqnXb8LaWjXOoELrpwR4Iheuf8FQfnVk42cAGYk_oDoZK9PTnnXw9jfgBkmZspOwAAAA&Fsv_Tgid=5424bce164be38ba&IASHttpSessionId=RR815220250120221720018053
东方卫视,http://39.134.50.212:6410/PLTV/11/224/3221227212/index.m3u8?rrsip=ltcottcdnfh.ln.chinamobile.com&zoneoffset=0&servicetype=1&icpid=&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%2C10500006445545%2C223.102.101.118%2C20250121061728%2CH265-3500k-1080P-dongfangstv%2C10001004046892%2C-1%2C0%2C1%2C-1%2C%2C2%2CYDTV%2C%2C%2C2%2C%2C403533950%2CEND&GuardEncType=2&it=H4sIAAAAAAAAAE2OTYvCMABE_02OIa3fh5xcBEGq0O5el2kyxmLaaNIK_vttpYc9zvDeMH2E4fFLY7eEWqypFhmXMKquzW5LuyVXec2VEonPIuhcGHjfdK4IdtJ-yv1vtsllvpaZzJQS1bR38HBafdBiaGvGOYxeyfhqDLVNV_lCknAu0qFvQicvHu_v6GdEsJq_dYP3op9ChXQfC3FD2of2gUh7Cu7D6St8onjA3OFYoOU_7xzteOIP95sUFewAAAA&Fsv_Tgid=5424bcf147ea76b4&IASHttpSessionId=RR813620250120221728157409
浙江卫视,http://ltcottcdnfh.ln.chinamobile.com/PLTV/11/224/3221227313/index.m3u8?rrsip=ltcottcdnfh.ln.chinamobile.com&zoneoffset=0&servicetype=1&icpid=&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%2C10500006445545%2C2409%3A8a15%3A2e42%3Ae8a0%3A5ab4%3A2dff%3Afe6a%3A2ff%2C20250121223652%2CH265-3500k-1080P-zhejiangstv%2C10001004046892%2C-1%2C0%2C1%2C-1%2C%2C2%2CYDTV%2C%2C%2C2%2C%2C403534073%2CEND&GuardEncType=2&it=H4sIAAAAAAAAAE2OQQ6CMBREb9NlQ0sFN11hTEwMmoBuzYf-VkKh2AKJtxcIC5czeW8yo4caLycZV1poxY48TbQApiFGIQ6R4qnWLFWCBPzkTnJSg7VNb3KnVu1ZZC-WcsoTyihjpFznzhaMjDYyn7oK_R4WrUA_NzVKFTSdIVAwxqOBsXE9vVv4PrzdEYLlfq2frCXjGkoI7VKQN4TMdQN4VFdnNk5qsAHJAHULBnPo8M-7ebWc-AH9xM7v6wAAAA
天津卫视,http://ltcottcdnfh.ln.chinamobile.com/PLTV/11/224/3221227306/index.m3u8?rrsip=ltcottcdnfh.ln.chinamobile.com&zoneoffset=0&servicetype=1&icpid=&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%2C10500006445545%2C2409%3A8a15%3A2e42%3Ae8a0%3A5ab4%3A2dff%3Afe6a%3A2ff%2C20250121223642%2CH265-3500k-1080P-tianjinstv%2C10001004046892%2C-1%2C0%2C1%2C-1%2C%2C2%2CYDTV%2C%2C%2C2%2C%2C403534252%2CEND&GuardEncType=2&it=H4sIAAAAAAAAAE2OQQ6CMBREb9NlYyu0uugKY2Ji0AR0az70UwmFYgsk3l4gLFzO5L3JDB5KvJyUBCFigVxGR4y0ZkWFgrEdAxnz_UFEJOAndYqTEqytO5M6vWjPLHkxySkXlFHGSL7MnS0YtVvJdGwL9FuYtQz9VJeodKjoBIGCMR4NDLXr6N3C9-HthhDMt2vdaC0ZlpBDaOaCvCEkru3Bo746s3KqAhuQ9FA2YDCFFv-8m9fziR8n33Ux6wAAAA
重庆卫视,http://ltcottcdnfh.ln.chinamobile.com/PLTV/11/224/3221227227/index.m3u8?rrsip=ltcottcdnfh.ln.chinamobile.com&zoneoffset=0&servicetype=1&icpid=&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%2C10500006445545%2C2409%3A8a15%3A2e42%3Ae8a0%3A5ab4%3A2dff%3Afe6a%3A2ff%2C20250121223647%2CH265-3500k-1080P-chongqingstv%2C10001004046892%2C-1%2C0%2C1%2C-1%2C%2C2%2CYDTV%2C%2C%2C2%2C%2C403534132%2CEND&GuardEncType=2&it=H4sIAAAAAAAAAE2OQQ6CMBREb9Nl01YFNl1pTExMNQHdmk_7qYRCsQUSby8QFi5n8t5khgAaLydZGZHxHRimGdtzXZUlaJYYftApywRyEvGjvBREg3N1Z5U3i_bMjy-eCioSyinnpFjmzg6sZCupxrbEsIVZyzFMtUZpYkUniBSsDWhhqH1H7w6-j-A2hGCxXetG58iwhAJiMxfkDfHo2x4Cmqu3KycrcBFJD7oBiwpa_PNuwcwnfgjOQa_rAAAA
湖北卫视,http://ltcottcdnfh.ln.chinamobile.com/PLTV/11/224/3221227230/index.m3u8?rrsip=ltcottcdnfh.ln.chinamobile.com&zoneoffset=0&servicetype=1&icpid=&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%2C10500006445545%2C2409%3A8a15%3A2e42%3Ae8a0%3A5ab4%3A2dff%3Afe6a%3A2ff%2C20250121224923%2CH265-3500k-1080P-hubeistv%2C10001004046892%2C-1%2C0%2C1%2C-1%2C%2C2%2CYDTV%2C%2C%2C2%2C%2C403534172%2CEND&GuardEncType=2&it=H4sIAAAAAAAAAE2OQQ6CMBREb9NlYxFQFl1hTEwMmoBuzW_7WwmFYgsk3l4gLFzO5L3JDB4kXk5c7ySKhLFUJCo-xizDRAoBWqS4Z1pnJOCncDwiEqytO1M4tWjPMn-xQ0SjlDLKGKmWubMFw3crWYytQL-FWSvRT7VEroKmEwQKxng0MNSuo3cL34e3G0Kw2q51o7VkWEIFoZkL8oaQu7YHj-rqzMpxDTYg6UE2YLCAFv-8m1fziR-pdXCC6wAAAA
黑龙江卫视,http://ltcottcdnfh.ln.chinamobile.com/PLTV/11/224/3221227288/index.m3u8?rrsip=ltcottcdnfh.ln.chinamobile.com&zoneoffset=0&servicetype=1&icpid=&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%2C10500006445545%2C2409%3A8a15%3A2e42%3Ae8a0%3A5ab4%3A2dff%3Afe6a%3A2ff%2C20250121224927%2CH265-3500k-1080P-heilongjiangstv%2C10001004046892%2C-1%2C0%2C1%2C-1%2C%2C2%2CYDTV%2C%2C%2C2%2C%2C403534286%2CEND&GuardEncType=2&it=H4sIAAAAAAAAAE2OsQrCMBiE3yZjaKI1OGRSBEGq0OoqZ_MnFtNGk1bw7W2lg-Md33dcH1HTfqsXQinkErS2i6VdK9jcLGGsyjMjskyyRK8iaMlqeN90rghm0i7l5iqU5HLFBReCVdPczsPp7EcWQ3ujOIdRKym-m5q0SZa_kTici-TQN6HjJ4_POfoZYVTN17rBe9ZPoUJ6jAW7I21C-0Qkcwjux2kLn4g9UT_gqEBLf94xmvHEF6wIaPfrAAAA
广东卫视,http://ltcottcdnfh.ln.chinamobile.com/PLTV/11/224/3221227318/index.m3u8?rrsip=ltcottcdnfh.ln.chinamobile.com&zoneoffset=0&servicetype=1&icpid=&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%2C10500006445545%2C2409%3A8a15%3A2e42%3Ae8a0%3A5ab4%3A2dff%3Afe6a%3A2ff%2C20250121224930%2CH265-3500k-1080P-guangdongstv%2C10001004046892%2C-1%2C0%2C1%2C-1%2C%2C2%2CYDTV%2C%2C%2C2%2C%2C403534232%2CEND&GuardEncType=2&it=H4sIAAAAAAAAAE2OsQ6CMBiE36ZjYwFFhk4YExODJqKrOdqfSixUWyTx7QXC4HiX77tc76HosJNpWiUZoUIWU6JIQEU6SeN1soqVUNWWBXoXTkZMwdqmM4XTk3a75HeRRjzacMGFYOU0t7cwcjWTxaetyC9h1C7kh0aR1KHmAwKHMZ4M-sZ1_GzxvXq7IIzK5Vr3sZb1UygRnmPBHgi5a1_wpI_OzJysYQOxF9QThgq09OedvB5P_ADWN_9A6wAAAA
江苏卫视,http://ltcottcdnfh.ln.chinamobile.com/PLTV/11/224/3221227303/index.m3u8?rrsip=ltcottcdnfh.ln.chinamobile.com&zoneoffset=0&servicetype=1&icpid=&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%2C10500006445545%2C2409%3A8a15%3A2e42%3Ae8a0%3A5ab4%3A2dff%3Afe6a%3A2ff%2C20250121224951%2CH265-3500k-1080P-jiangsustv%2C10001004046892%2C-1%2C0%2C1%2C-1%2C%2C2%2CYDTV%2C%2C%2C2%2C%2C403534256%2CEND&GuardEncType=2&it=H4sIAAAAAAAAAE2OwQ6CMBBE_6bHxlYtcuhJY2Ji0AT0atbtUgmFYgsk_r1gOHicyXuT6QMgnQ56RUgGlTJypzbrbfpMQFEpAVMhN7guWaR35rVkCM5Vrc28mbV7vn-IRHKpuOBCsGKeOzqwevUjs6F5UljCpOUUxgpJm1jyESIHawNZ6Cvf8quDzy24BWFULNfawTnWz6GAWE8Fe0Hc-6aDQObs7Y_TJbhIrAOswVIGDf15l2CmE19p5KMT6wAAAA
安徽卫视,http://ltcottcdnfh.ln.chinamobile.com/PLTV/11/224/3221227233/index.m3u8?rrsip=ltcottcdnfh.ln.chinamobile.com&zoneoffset=0&servicetype=1&icpid=&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%2C10500006445545%2C2409%3A8a15%3A2e42%3Ae8a0%3A5ab4%3A2dff%3Afe6a%3A2ff%2C20250121225501%2CH265-3500k-1080P-anhuistv%2C10001004046892%2C-1%2C0%2C1%2C-1%2C%2C2%2CYDTV%2C%2C%2C2%2C%2C403534174%2CEND&GuardEncType=2&it=H4sIAAAAAAAAAE2Oyw6CMBRE_6bLhlblsehKY2Jiqgno1lzaSyUUii2Q-PcCYeFyJudMZvCg8HISmqsUkoxFZZTudZZkGdvpEqsDTyMdlzEJ-JFOcKLA2roz0ulFe-bHF0s45TFllDFSLHNnC0ZEKynHtkS_hVnL0U-1QqFDRScIFIzxaGCoXUfvFr4PbzeEYLFd60ZrybCEAkIzF-QN4ejaHjzqqzMrJyqwAUkPqgGDElr8825ezyd-EnELVusAAAA
湖南卫视,http://ltcottcdnfh.ln.chinamobile.com/PLTV/11/224/3221227316/index.m3u8?rrsip=ltcottcdnfh.ln.chinamobile.com&zoneoffset=0&servicetype=1&icpid=&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%2C10500006445545%2C2409%3A8a15%3A2e42%3Ae8a0%3A5ab4%3A2dff%3Afe6a%3A2ff%2C20250121225504%2CH265-3500k-1080P-hunanstv%2C10001004046892%2C-1%2C0%2C1%2C-1%2C%2C2%2CYDTV%2C%2C%2C2%2C%2C403534076%2CEND&GuardEncType=2&it=H4sIAAAAAAAAAE2OwQ6CMBBE_6bHxlYQPfSkMTExaAJ6NUu7rYSFYgsm_r1gOHicyXuTGQJoPB1Ullq9y0Cmu61IbJJshV1Veq21XVcSwbCIr9wryTQQ1Z3LvZm1e7F_iExyueGCC8HKee5I4NTqR-ZjW2FYwqQVGN61RmWi5W-IHJwL6GCofcevBJ9boAVhWC7XupGIDXMoITZTwZ4Q977tIaA5e_fjlAWKyHrQDTjMocU_7xLMdOILzDtvo-sAAAA
深圳卫视,http://39.135.126.68:6610/PLTV/11/224/3221227239/index.m3u8?rrsip=ltcottcdnfh.ln.chinamobile.com&zoneoffset=0&servicetype=1&icpid=&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%2C10500006445545%2C2409%3A8a15%3A2e42%3Ae8a0%3A5ab4%3A2dff%3Afe6a%3A2ff%2C20250121225531%2CH265-3500k-1080P-shenzhenstv%2C10001004046892%2C-1%2C0%2C1%2C-1%2C%2C2%2CYDTV%2C%2C%2C2%2C%2C403534212%2CEND&GuardEncType=2&it=H4sIAAAAAAAAAE2OQQuCMBzFv82Ow4kzPOxUBEFYkHWNN_27xOlsU6Fvn4aHju_x-z3e6FHS6aCEljohSTuZIomkRiIFMhklstZxnWUs0Dt3KmYlrG16k7tq1R63_VPsYh6nXHAhWLHOHS2Min5kPnWa_BYW7UZ-bkpSVaj5jMBhjCeDsXE9v1p87t5uCKNiu9ZP1rJxDQVCuxTshbB33QBP1dmZH6dq2EBsQNnCUI6O_ryLr5YTX0MLCAPrAAAA&Fsv_Tgid=542690c73f501245&IASHttpSessionId=RR1642920250121145531832742&ispcode=114
